code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
21340,Ideas,Tales of the Space Age,49.99,,688.0,325,https://www.lego.com/en-us/product/tales-of-the-space-age-21340,2023-04-23
31058,Creator 3-in-1,Mighty Dinosaurs,14.99,4.6,174.0,97,https://www.lego.com/en-us/product/mighty-dinosaurs-31058,2023-04-23
31088,Creator 3-in-1,Deep Sea Creatures,14.99,5.0,230.0,97,https://www.lego.com/en-us/product/deep-sea-creatures-31088,2023-04-23
31109,Creator 3-in-1,Pirate Ship,119.99,4.8,1264.0,780,https://www.lego.com/en-us/product/pirate-ship-31109,2023-04-23
31111,Creator 3-in-1,Cyber Drone,9.99,4.9,113.0,65,https://www.lego.com/en-us/product/cyber-drone-31111,2023-04-23
31113,Creator 3-in-1,Race Car Transporter,19.99,,328.0,104,https://www.lego.com/en-us/product/race-car-transporter-31113,2023-04-23
31118,Creator 3-in-1,Surfer Beach House,49.99,4.8,564.0,325,https://www.lego.com/en-us/product/surfer-beach-house-31118,2023-04-23
31120,Creator 3-in-1,Medieval Castle,99.99,4.5,1426.0,650,https://www.lego.com/en-us/product/medieval-castle-31120,2023-04-23
31122,Creator 3-in-1,Fish Tank,29.99,4.6,352.0,156,https://www.lego.com/en-us/product/fish-tank-31122,2023-04-23
31123,Creator 3-in-1,Off-road Buggy,14.99,4.9,160.0,97,https://www.lego.com/en-us/product/off-road-buggy-31123,2023-04-23
31124,Creator 3-in-1,Super Robot,9.99,4.9,159.0,65,https://www.lego.com/en-us/product/super-robot-31124,2023-04-23
31125,Creator 3-in-1,Fantasy Forest Creatures,14.99,4.8,175.0,97,https://www.lego.com/en-us/product/fantasy-forest-creatures-31125,2023-04-23
31126,Creator 3-in-1,Supersonic-jet,19.99,4.9,215.0,130,https://www.lego.com/en-us/product/supersonic-jet-31126,2023-04-23
31127,Creator 3-in-1,Street Racer,19.99,4.9,258.0,130,https://www.lego.com/en-us/product/street-racer-31127,2023-04-23
31128,Creator 3-in-1,Dolphin and Turtle,9.99,4.5,137.0,65,https://www.lego.com/en-us/product/dolphin-and-turtle-31128,2023-04-23
31129,Creator 3-in-1,Majestic Tiger,49.99,4.8,755.0,325,https://www.lego.com/en-us/product/majestic-tiger-31129,2023-04-23
31130,Creator 3-in-1,Sunken Treasure Mission,34.99,4.3,522.0,227,https://www.lego.com/en-us/product/sunken-treasure-mission-31130,2023-04-23
31131,Creator 3-in-1,Downtown Noodle Shop,44.99,4.5,569.0,292,https://www.lego.com/en-us/product/downtown-noodle-shop-31131,2023-04-23
31132,Creator 3-in-1,Viking Ship and the Midgard Serpent,119.99,,1192.0,780,https://www.lego.com/en-us/product/viking-ship-and-the-midgard-serpent-31132,2023-04-23
31133,Creator 3-in-1,White Rabbit,19.99,4.7,258.0,130,https://www.lego.com/en-us/product/white-rabbit-31133,2023-04-23
31134,Creator 3-in-1,Space Shuttle,9.99,,144.0,65,https://www.lego.com/en-us/product/space-shuttle-31134,2023-04-23
31135,Creator 3-in-1,Vintage Motorcycle,14.99,4.9,128.0,97,https://www.lego.com/en-us/product/vintage-motorcycle-31135,2023-04-23
31136,Creator 3-in-1,Exotic Parrot,19.99,4.8,253.0,130,https://www.lego.com/en-us/product/exotic-parrot-31136,2023-04-23
31137,Creator 3-in-1,Adorable Dogs,29.99,4.9,475.0,195,https://www.lego.com/en-us/product/adorable-dogs-31137,2023-04-23
31138,Creator 3-in-1,Beach Camper Van,49.99,,556.0,325,https://www.lego.com/en-us/product/beach-camper-van-31138,2023-04-23
31139,Creator 3-in-1,Cozy House,59.99,4.9,808.0,390,https://www.lego.com/en-us/product/cozy-house-31139,2023-04-23
